<DATE/TIME>;<UTS>;<HIGH>;<LOW>
2016-01-01 00:00:00;1451606400;430.804223;428.26000202
2016-01-01 02:00:00;1451613600;431.76;430.80422532
2016-01-01 04:00:00;1451620800;433.01013736;431.75999999
2016-01-01 06:00:00;1451628000;433.01013738;432.14
2016-01-01 08:00:00;1451635200;430.900001;430.9
2016-01-01 10:00:00;1451642400;432.62;431.76
2016-01-01 12:00:00;1451649600;432.62;431.76
2016-01-01 14:00:00;1451656800;431.76;429.12
2016-01-01 16:00:00;1451664000;434.069999;428.27005853
2016-01-01 18:00:00;1451671200;434.06999898;428.5000111
2016-01-01 20:00:00;1451678400;435.0;432.06999867
2016-01-01 22:00:00;1451685600;434.98999999;434.98999999
2016-01-02 00:00:00;1451692800;438.13999999;434.98999999
2016-01-02 02:00:00;1451700000;431.35;430.5
2016-01-02 04:00:00;1451707200;432.22;430.900001
2016-01-02 06:00:00;1451714400;432.22;432.22
2016-01-02 08:00:00;1451721600;432.49000001;432.49
2016-01-02 10:00:00;1451728800;432.5;432.5
2016-01-02 12:00:00;1451736000;432.5;432.5
2016-01-02 14:00:00;1451743200;437.36350001;432.48
2016-01-02 16:00:00;1451750400;432.22;432.22
2016-01-02 18:00:00;1451757600;432.22;432.22
2016-01-02 20:00:00;1451764800;436.9499;436.9499
2016-01-02 22:00:00;1451772000;436.9499;436.9499
2016-01-03 00:00:00;1451779200;436.9499;436.9499
2016-01-03 02:00:00;1451786400;435.61499822;430.49
2016-01-03 04:00:00;1451793600;435.12727962;429.0
2016-01-03 06:00:00;1451800800;435.12727959;435.12727959
2016-01-03 08:00:00;1451808000;429.0;426.45308869
2016-01-03 10:00:00;1451815200;429.0;426.453091
2016-01-03 12:00:00;1451822400;429.86;427.29999999
2016-01-03 14:00:00;1451829600;427.29999999;427.29999999
2016-01-03 16:00:00;1451836800;427.29263522;427.29263522
2016-01-03 18:00:00;1451844000;427.72128881;427.29
2016-01-03 20:00:00;1451851200;428.14;427.29
2016-01-03 22:00:00;1451858400;428.14;428.14
2016-01-04 00:00:00;1451865600;428.14;428.14
2016-01-04 02:00:00;1451872800;429.14;427.29114042
2016-01-04 04:00:00;1451880000;429.999;429.14
2016-01-04 06:00:00;1451887200;435.67957701;429.5695
2016-01-04 08:00:00;1451894400;429.78425;429.57000001
2016-01-04 10:00:00;1451901600;429.93577016;429.5695
2016-01-04 12:00:00;1451908800;435.54416286;429.9997505
2016-01-04 14:00:00;1451916000;435.999999;429.5695
2016-01-04 16:00:00;1451923200;435.999999;430.99961632
2016-01-04 18:00:00;1451930400;430.99971927;430.14002522
2016-01-04 20:00:00;1451937600;435.99999;435.13
2016-01-04 22:00:00;1451944800;435.999999;430.5006219
2016-01-05 00:00:00;1451952000;430.14021095;430.14021095
2016-01-05 02:00:00;1451959200;435.999999;435.999999
2016-01-05 04:00:00;1451966400;430.14183859;430.14183859
2016-01-05 06:00:00;1451973600;430.14242017;430.14242017
2016-01-05 08:00:00;1451980800;431.56;430.70111111
2016-01-05 10:00:00;1451988000;430.70111111;430.70111111
2016-01-05 12:00:00;1451995200;430.70111111;430.14209404
2016-01-05 14:00:00;1452002400;431.0;431.0
2016-01-05 16:00:00;1452009600;431.0;431.0
2016-01-05 18:00:00;1452016800;432.93010831;429.5695
2016-01-05 20:00:00;1452024000;433.76835507;430.37677352
2016-01-05 22:00:00;1452031200;430.37677352;430.37677352
2016-01-06 00:00:00;1452038400;433.0;430.17047263
2016-01-06 02:00:00;1452045600;432.53164101;428.0
2016-01-06 04:00:00;1452052800;427.68639676;427.68639676
2016-01-06 06:00:00;1452060000;427.68639676;427.68639676
2016-01-06 08:00:00;1452067200;430.33418733;430.33418733
2016-01-06 10:00:00;1452074400;427.290001;427.290001
2016-01-06 12:00:00;1452081600;429.87070185;427.77132857
2016-01-06 14:00:00;1452088800;431.19792;431.19792
2016-01-06 16:00:00;1452096000;431.19792;431.19792
2016-01-06 18:00:00;1452103200;431.37864;431.37864
2016-01-06 20:00:00;1452110400;427.48635461;427.48635461
2016-01-06 22:00:00;1452117600;434.99999973;427.50002018
2016-01-07 00:00:00;1452124800;427.5006401;427.50057343
2016-01-07 02:00:00;1452132000;440.0;434.99999971
2016-01-07 04:00:00;1452139200;439.12006762;439.12006762
2016-01-07 06:00:00;1452146400;447.99;439.12006762
2016-01-07 08:00:00;1452153600;447.89;446.99999999
2016-01-07 10:00:00;1452160800;446.99999999;446.99999999
2016-01-07 12:00:00;1452168000;456.1334;447.89
2016-01-07 14:00:00;1452175200;454.9;447.89700002
2016-01-07 16:00:00;1452182400;452.9;447.89700011
2016-01-07 18:00:00;1452189600;450.00000465;450.0
